File Name,Number of trades,Number of positive trades,Number of negative trades,Total profit,Total turnover
BANKNIFTY04JAN1825200PE_2018-01-01.csv,7,2,5,-37.5,5329.5
BANKNIFTY04JAN1825300PE_2018-01-01.csv,7,3,4,126.75,11196.75
BANKNIFTY04JAN1825400CE_2018-01-01.csv,2,0,2,-366.75,11285.25
BANKNIFTY04JAN1825400PE_2018-01-01.csv,4,1,3,-102.0,8193.0
BANKNIFTY04JAN1825500CE_2018-01-01.csv,2,0,2,-212.25,7895.25
BANKNIFTY04JAN1825500PE_2018-01-01.csv,4,2,2,166.5,12616.5
BANKNIFTY04JAN1825600CE_2018-01-01.csv,3,0,3,-255.0,6256.5
BANKNIFTY04JAN1825600PE_2018-01-01.csv,4,2,2,293.25,22406.25
BANKNIFTY04JAN1825700CE_2018-01-01.csv,8,1,7,-280.5,12010.5
BANKNIFTY04JAN1825700PE_2018-01-01.csv,4,3,1,1201.5,30069.0
BANKNIFTY04JAN1825800CE_2018-01-01.csv,7,1,6,-93.0,4966.5
BANKNIFTY04JAN1825000PE_2018-01-02.csv,15,6,9,25.5,11832.0
BANKNIFTY04JAN1825100PE_2018-01-02.csv,10,3,7,-185.25,12120.75
BANKNIFTY04JAN1825200CE_2018-01-02.csv,7,0,7,-1441.5,37510.5
BANKNIFTY04JAN1825200PE_2018-01-02.csv,11,5,6,183.0,21954.0
BANKNIFTY04JAN1825300CE_2018-01-02.csv,4,0,4,-616.5,12466.5
BANKNIFTY04JAN1825300PE_2018-01-02.csv,9,4,5,-21.75,28548.75
BANKNIFTY04JAN1825400CE_2018-01-02.csv,5,1,4,-209.25,12020.25
BANKNIFTY04JAN1825400PE_2018-01-02.csv,6,1,5,-609.0,29166.0
BANKNIFTY04JAN1825500CE_2018-01-02.csv,10,1,9,-384.0,11680.5
BANKNIFTY04JAN1825500PE_2018-01-02.csv,8,4,4,460.5,53658.0
BANKNIFTY04JAN1825600CE_2018-01-02.csv,8,3,5,-41.25,4802.25
BANKNIFTY04JAN1825600PE_2018-01-02.csv,10,4,6,523.5,96612.0
BANKNIFTY04JAN1825200CE_2018-01-03.csv,9,2,7,-802.5,53757.0
BANKNIFTY04JAN1825200PE_2018-01-03.csv,4,2,2,30.0,2406.0
BANKNIFTY04JAN1825300CE_2018-01-03.csv,8,2,6,-201.0,27874.5
BANKNIFTY04JAN1825300PE_2018-01-03.csv,5,3,2,200.25,7395.0
BANKNIFTY04JAN1825400CE_2018-01-03.csv,6,2,4,-60.0,11532.0
BANKNIFTY04JAN1825400PE_2018-01-03.csv,5,3,2,300.0,13764.75
BANKNIFTY04JAN1825500CE_2018-01-03.csv,5,1,4,-121.5,4635.0
BANKNIFTY04JAN1825500PE_2018-01-03.csv,5,3,2,375.0,20151.0
BANKNIFTY04JAN1825600PE_2018-01-03.csv,8,5,3,1245.75,55604.25
BANKNIFTY04JAN1825100CE_2018-01-04.csv,8,5,3,1590.0,69493.5
BANKNIFTY04JAN1825200CE_2018-01-04.csv,9,6,3,1738.5,54766.5
BANKNIFTY04JAN1825300CE_2018-01-04.csv,9,5,4,429.75,29264.25
BANKNIFTY04JAN1825300PE_2018-01-04.csv,19,10,9,-90.75,2616.0
BANKNIFTY04JAN1825400CE_2018-01-04.csv,8,3,5,-206.25,8600.25
BANKNIFTY04JAN1825400PE_2018-01-04.csv,7,2,5,45.75,7873.5
BANKNIFTY04JAN1825500PE_2018-01-04.csv,10,2,8,-711.0,27534.0
BANKNIFTY04JAN1825600PE_2018-01-04.csv,8,2,6,-492.75,41705.25
BANKNIFTY11JAN1825200PE_2018-01-05.csv,6,1,5,-51.75,5324.25
BANKNIFTY11JAN1825300CE_2018-01-05.csv,4,2,2,450.0,32332.5
BANKNIFTY11JAN1825300PE_2018-01-05.csv,7,2,5,-15.75,9962.25
BANKNIFTY11JAN1825400CE_2018-01-05.csv,6,3,3,241.5,37180.5
BANKNIFTY11JAN1825400PE_2018-01-05.csv,4,1,3,-132.0,9153.0
BANKNIFTY11JAN1825500CE_2018-01-05.csv,6,3,3,326.25,26561.25
BANKNIFTY11JAN1825500PE_2018-01-05.csv,5,1,4,-105.0,16524.0
BANKNIFTY11JAN1825600CE_2018-01-05.csv,6,2,4,-80.25,17781.75
BANKNIFTY11JAN1825600PE_2018-01-05.csv,5,1,4,-252.0,25155.0
BANKNIFTY11JAN1825700CE_2018-01-05.csv,7,3,4,-41.25,13347.75
BANKNIFTY11JAN1825700PE_2018-01-05.csv,5,1,4,-279.0,32437.5
BANKNIFTY11JAN1825800CE_2018-01-05.csv,7,4,3,114.0,7983.0
BANKNIFTY11JAN1825400PE_2018-01-08.csv,6,3,3,66.75,4718.25
BANKNIFTY11JAN1825500CE_2018-01-08.csv,4,1,3,-399.75,29049.75
BANKNIFTY11JAN1825500PE_2018-01-08.csv,6,1,5,-174.75,7187.25
BANKNIFTY11JAN1825600CE_2018-01-08.csv,5,2,3,191.25,25505.25
BANKNIFTY11JAN1825600PE_2018-01-08.csv,4,2,2,-10.5,9199.5
BANKNIFTY11JAN1825700CE_2018-01-08.csv,6,0,6,-645.0,20529.0
BANKNIFTY11JAN1825700PE_2018-01-08.csv,3,1,2,-95.25,9422.25
BANKNIFTY11JAN1825800CE_2018-01-08.csv,7,1,6,-281.25,14724.75
BANKNIFTY11JAN1825800PE_2018-01-08.csv,5,2,3,-62.25,25965.0
BANKNIFTY11JAN1825900CE_2018-01-08.csv,8,1,7,-186.0,10263.0
BANKNIFTY11JAN1825900PE_2018-01-08.csv,5,3,2,518.25,37101.75
BANKNIFTY11JAN1826000CE_2018-01-08.csv,11,1,10,-210.75,7479.75
BANKNIFTY11JAN1825400CE_2018-01-09.csv,5,2,3,208.5,44650.5
BANKNIFTY11JAN1825400PE_2018-01-09.csv,11,5,6,45.0,6889.5
BANKNIFTY11JAN1825500CE_2018-01-09.csv,6,2,4,-24.0,34099.5
BANKNIFTY11JAN1825500PE_2018-01-09.csv,7,3,4,73.5,7195.5
BANKNIFTY11JAN1825600CE_2018-01-09.csv,4,1,3,-183.0,14466.0
BANKNIFTY11JAN1825600PE_2018-01-09.csv,7,2,5,-47.25,13332.75
BANKNIFTY11JAN1825700CE_2018-01-09.csv,6,3,3,154.5,14022.0
BANKNIFTY11JAN1825700PE_2018-01-09.csv,6,2,4,10.5,19386.0
BANKNIFTY11JAN1825800CE_2018-01-09.csv,9,4,5,145.5,9795.0
BANKNIFTY11JAN1825800PE_2018-01-09.csv,5,3,2,421.5,28298.25
BANKNIFTY11JAN1825900CE_2018-01-09.csv,14,4,10,-27.0,6849.0
BANKNIFTY11JAN1825900PE_2018-01-09.csv,8,2,6,-775.5,60669.0
BANKNIFTY11JAN1825400CE_2018-01-10.csv,8,3,5,-135.0,51150.0
BANKNIFTY11JAN1825500CE_2018-01-10.csv,9,4,5,42.75,34354.5
BANKNIFTY11JAN1825500PE_2018-01-10.csv,12,7,5,311.25,11319.75
BANKNIFTY11JAN1825600CE_2018-01-10.csv,9,3,6,-183.75,17828.25
BANKNIFTY11JAN1825600PE_2018-01-10.csv,9,2,7,-192.75,18464.25
BANKNIFTY11JAN1825700CE_2018-01-10.csv,8,2,6,-179.25,7169.25
BANKNIFTY11JAN1825700PE_2018-01-10.csv,11,7,4,871.5,41190.0
BANKNIFTY11JAN1825800CE_2018-01-10.csv,14,5,9,-72.75,5288.25
BANKNIFTY11JAN1825800PE_2018-01-10.csv,6,4,2,881.25,39478.5
BANKNIFTY11JAN1825400CE_2018-01-11.csv,6,4,2,1040.25,41639.25
BANKNIFTY11JAN1825500CE_2018-01-11.csv,10,7,3,1347.75,38984.25
BANKNIFTY11JAN1825600CE_2018-01-11.csv,12,9,3,806.25,15600.75
BANKNIFTY11JAN1825600PE_2018-01-11.csv,8,2,6,-185.25,4671.0
BANKNIFTY11JAN1825700PE_2018-01-11.csv,5,0,5,-413.25,11447.25
BANKNIFTY11JAN1825800PE_2018-01-11.csv,6,2,4,-364.5,29121.0
BANKNIFTY18JAN1824900PE_2018-01-12.csv,14,4,10,-15.0,4168.5
BANKNIFTY18JAN1825300PE_2018-01-12.csv,7,2,5,-51.75,5757.75
BANKNIFTY18JAN1825400PE_2018-01-12.csv,8,2,6,-207.0,9211.5
BANKNIFTY18JAN1825500CE_2018-01-12.csv,5,2,3,80.25,38859.0
BANKNIFTY18JAN1825500PE_2018-01-12.csv,10,3,7,-256.5,17058.0
BANKNIFTY18JAN1825600CE_2018-01-12.csv,7,3,4,219.75,37600.5
BANKNIFTY18JAN1825600PE_2018-01-12.csv,3,1,2,-57.0,8106.0
BANKNIFTY18JAN1825700CE_2018-01-12.csv,5,2,3,120.75,17486.25
BANKNIFTY18JAN1825700PE_2018-01-12.csv,6,2,4,-306.75,22231.5
BANKNIFTY18JAN1825800CE_2018-01-12.csv,7,3,4,111.0,15886.5
BANKNIFTY18JAN1825800PE_2018-01-12.csv,9,3,6,-259.5,49585.5
BANKNIFTY18JAN1825900CE_2018-01-12.csv,5,0,5,-180.0,6108.0
BANKNIFTY18JAN1825900PE_2018-01-12.csv,6,1,5,-811.5,49441.5
BANKNIFTY18JAN1825500PE_2018-01-15.csv,9,2,7,-83.25,5049.75
BANKNIFTY18JAN1825600PE_2018-01-15.csv,8,0,8,-216.0,6980.25
BANKNIFTY18JAN1825700CE_2018-01-15.csv,9,6,3,1802.25,80862.0
BANKNIFTY18JAN1825700PE_2018-01-15.csv,6,0,6,-267.0,7398.0
BANKNIFTY18JAN1825800CE_2018-01-15.csv,9,7,2,1719.75,57942.75
BANKNIFTY18JAN1825800PE_2018-01-15.csv,8,1,7,-345.0,15508.5
BANKNIFTY18JAN1825900CE_2018-01-15.csv,9,6,3,859.5,39621.0
BANKNIFTY18JAN1825900PE_2018-01-15.csv,6,1,5,-406.5,16867.5
BANKNIFTY18JAN1826000CE_2018-01-15.csv,8,6,2,576.75,23235.75
BANKNIFTY18JAN1826000PE_2018-01-15.csv,8,1,7,-731.25,33805.5
BANKNIFTY18JAN1826100CE_2018-01-15.csv,9,7,2,504.0,15583.5
BANKNIFTY18JAN1826100PE_2018-01-15.csv,9,2,7,-840.75,58107.0
BANKNIFTY18JAN1826200CE_2018-01-15.csv,11,7,4,150.0,10023.0
BANKNIFTY18JAN1825700CE_2018-01-16.csv,6,1,5,-1163.25,57024.0
BANKNIFTY18JAN1825700PE_2018-01-16.csv,9,4,5,66.75,7067.25
BANKNIFTY18JAN1825800CE_2018-01-16.csv,10,3,7,-538.5,61984.5
BANKNIFTY18JAN1825800PE_2018-01-16.csv,9,2,7,-131.25,10514.25
BANKNIFTY18JAN1825900CE_2018-01-16.csv,7,3,4,138.75,31529.25
BANKNIFTY18JAN1825900PE_2018-01-16.csv,6,2,4,-49.5,11292.0
BANKNIFTY18JAN1826000CE_2018-01-16.csv,10,4,6,-12.75,25796.25
BANKNIFTY18JAN1826000PE_2018-01-16.csv,9,2,7,-368.25,27500.25
BANKNIFTY18JAN1826100CE_2018-01-16.csv,9,2,7,-215.25,12692.25
BANKNIFTY18JAN1826100PE_2018-01-16.csv,8,2,6,-378.0,37347.0
BANKNIFTY18JAN1826200CE_2018-01-16.csv,11,3,8,-105.75,8058.75
BANKNIFTY18JAN1826200PE_2018-01-16.csv,11,5,6,601.5,80216.25
BANKNIFTY18JAN1825700CE_2018-01-17.csv,8,6,2,2950.5,87489.0
BANKNIFTY18JAN1825800CE_2018-01-17.csv,8,6,2,1928.25,63998.25
BANKNIFTY18JAN1825800PE_2018-01-17.csv,11,2,9,-150.75,4985.25
BANKNIFTY18JAN1825900CE_2018-01-17.csv,8,5,3,708.0,43014.0
BANKNIFTY18JAN1825900PE_2018-01-17.csv,7,1,6,-138.75,4028.25
BANKNIFTY18JAN1826000CE_2018-01-17.csv,5,4,1,351.0,19005.0
BANKNIFTY18JAN1826000PE_2018-01-17.csv,6,1,5,-178.5,7983.0
BANKNIFTY18JAN1826100CE_2018-01-17.csv,8,3,5,-91.5,15556.5
BANKNIFTY18JAN1826100PE_2018-01-17.csv,10,2,8,-652.5,21867.0
BANKNIFTY18JAN1826200PE_2018-01-17.csv,11,1,10,-1526.25,48452.25
BANKNIFTY18JAN1826200CE_2018-01-18.csv,8,2,6,-879.0,114382.5
BANKNIFTY18JAN1826300CE_2018-01-18.csv,12,2,10,-2642.25,130323.75
BANKNIFTY18JAN1826400CE_2018-01-18.csv,8,3,5,38.25,78975.0
BANKNIFTY18JAN1826400PE_2018-01-18.csv,37,20,17,336.75,1426.5
BANKNIFTY18JAN1826500CE_2018-01-18.csv,8,2,6,-436.5,51894.0
BANKNIFTY18JAN1826500PE_2018-01-18.csv,18,2,16,-326.25,2635.5
BANKNIFTY18JAN1826600CE_2018-01-18.csv,13,6,7,-383.25,36606.0
BANKNIFTY18JAN1826600PE_2018-01-18.csv,13,8,5,21.75,8043.75
